PAIS;PIB;POB;IDH;GINI;IPC;FAO;GENERO;ELECTRICIDAD;ESCOLARIDAD;SUICIDIOFEM;SUICIDIOMAS;BOSQUE;FOSIL;DIOXIDO;DESASTRE;AFECTADOS;HOMICIDIO;MORTINF;MORTMAT;TURISMO;INTERNET;VIOLENCIA;VIDA;CELULAR;DESERCION;PRISION;RENOVABLE;PARLAMENTO;INMIGRANTES
Côte d'Ivoire;63.13;20.316;0.4622;43.19;109.01;6.72;0.679;56;8.94;4.1;10.6;32.71;21.51;0.332;2.115;1.074;13.6;100.0;720;0.289;14.60;39.4;51.5;106.25;26.88;34;78.96;9.16;12.04
Cameroon;60.96;22.254;0.5118;40.72;108.03;7.81;0.587;54;10.40;3.4;10.9;41.20;26.80;0.268;13.505;5.194;7.6;94.5;590;0.912;11.00;51.1;55.5;75.69;30.25;119;73.20;27.14;1.31
Nepal;60.40;27.797;0.5475;32.82;130.42;9.50;0.489;76;12.35;20.0;30.1;25.36;12.54;0.160;232.550;8.776;2.9;39.7;190;0.798;15.44;26.0;69.6;82.49;39.64;48;86.89;29.48;3.49
Afghanistan;57.55;30.552;0.4653;27.82;127.19;5.99;0.693;43;9.27;5.3;6.2;2.07;48.99;0.421;528.893;4.927;6.5;97.3;400;0.786;6.39;46.4;60.4;74.88;46.80;76;76.35;27.64;0.34
Slovenia;56.82;2.060;0.8803;24.87;106.29;2.21;0.016;100;16.81;4.4;20.8;62.41;66.59;7.504;6.416;0.106;0.7;2.9;7;2.259;71.59;41.2;80.4;112.08;1.18;66;34.51;27.69;11.26
Bahrain;56.54;1.332;0.8239;29.00;105.65;2.24;0.265;98;14.40;2.9;11.6;0.74;99.89;18.131;0.007;0.000;0.5;6.1;22;9.163;91.00;39.5;76.6;173.27;2.19;275;0.00;15.00;54.75
Zambia;55.24;14.539;0.5855;57.49;121.34;10.10;0.587;22;13.50;10.8;20.8;66.10;8.76;0.224;380.677;2.234;10.7;87.4;280;0.915;17.34;51.9;60.1;67.34;44.51;119;91.83;12.66;0.68
Myanmar;54.61;10.304;0.5356;38.40;112.45;8.49;0.413;52;8.63;10.3;16.5;47.69;21.31;0.199;66.005;0.147;15.2;50.5;200;2.044;2.10;31.8;65.9;49.47;25.21;120;78.69;4.72;0.19
Paraguay;53.28;6.802;0.6792;48.01;115.25;4.33;0.472;98;11.91;3.2;9.1;43.35;33.81;0.806;266.273;0.212;9.7;21.9;110;0.610;43.00;46.8;72.9;105.60;19.88;118;145.19;16.80;2.73
Democratic Republic of the Congo;52.88;67.514;0.4331;44.43;128.59;5.99;0.673;16;9.75;4.8;15.8;67.71;4.21;0.054;31.809;2.427;28.3;118.5;730;0.191;3.00;64.1;58.7;53.49;29.28;33;95.84;8.17;0.66
Uganda;51.40;37.579;0.4827;44.55;142.72;5.20;0.538;18;9.77;12.3;26.9;14.07;48.99;0.108;389.938;32.053;10.7;66.1;360;1.206;17.71;62.2;58.5;52.43;75.16;97;74.19;34.97;1.41
Luxembourg;47.66;0.543;0.8919;29.00;108.01;1.27;0.100;100;13.88;4.4;13.0;33.49;87.36;20.898;0.000;0.000;0.8;2.0;11;0.945;94.67;39.5;81.7;148.37;5.60;122;3.98;28.33;43.25
El Salvador;47.65;6.340;0.6658;41.80;107.79;4.28;0.427;94;12.26;5.7;23.5;13.43;47.87;1.069;59.457;1.817;41.2;15.7;69;1.283;29.70;26.3;73.0;144.03;16.21;422;51.90;27.38;0.66
Cambodia;44.55;15.135;0.5548;31.82;111.77;7.78;0.477;31;10.90;6.5;12.6;55.74;26.22;0.308;436.312;0.000;6.5;37.9;170;4.210;9.00;22.3;68.4;155.11;35.77;106;71.12;19.02;0.50
Latvia;43.94;2.013;0.8188;36.03;106.71;2.86;0.167;100;15.24;4.3;30.7;54.31;63.69;3.787;0.000;0.000;4.7;8.4;13;1.536;75.83;26.8;74.2;124.20;9.71;304;33.84;18.00;13.80
Trinidad and Tobago;39.52;1.341;0.7719;28.53;120.81;4.04;0.371;100;12.35;6.2;20.4;43.85;99.93;37.188;0.000;0.000;28.3;21.3;84;0.434;65.10;41.2;70.4;147.34;10.61;281;0.07;24.66;2.42
Honduras;36.00;8.098;0.6061;57.40;118.11;4.76;0.480;82;11.10;2.8;8.3;44.26;51.59;1.082;193.185;1.142;90.4;22.2;120;0.863;19.08;50.1;73.1;93.52;30.35;153;48.76;25.78;0.34
Bosnia and Herzegovina;35.95;3.829;0.7325;33.04;105.71;4.82;0.201;100;13.60;4.1;18.0;42.84;93.92;6.185;105.598;0.000;1.3;6.6;8;0.529;60.80;46.9;76.5;91.28;17.23;78;7.89;19.30;0.61
Estonia;33.29;1.325;0.8608;32.69;112.15;2.76;0.164;100;16.48;3.8;24.9;51.80;88.15;14.050;0.010;0.000;5.0;3.4;11;2.868;84.24;31.3;76.8;160.69;3.02;238;14.59;19.80;16.31
Laos;31.60;6.770;0.5750;36.22;119.30;8.62;0.407;70;10.58;6.6;11.2;67.57;63.67;0.184;150.836;0.000;5.9;71.4;146;2.510;14.26;50.1;66.2;66.99;26.66;69;71.62;25.00;0.32
Madagascar;31.38;22.925;0.5099;40.63;123.23;7.07;0.407;15;10.35;6.9;15.2;21.38;63.67;0.113;518.969;27.637;11.1;56.0;440;0.196;3.70;46.4;65.1;38.22;62.03;87;71.62;20.53;0.15
Gabon;31.17;1.672;0.6835;42.19;104.46;5.22;0.514;89;12.50;4.5;12.1;85.38;38.87;1.403;10.920;0.087;9.1;56.1;240;0.269;9.81;37.9;64.4;210.37;4.70;196;61.13;16.22;23.63
Georgia;31.10;4.477;0.7541;41.35;106.97;6.45;0.382;100;13.80;1.0;5.7;39.39;72.80;1.769;14.778;0.611;4.3;13.1;41;5.392;48.90;9.1;74.9;124.94;0.18;225;28.30;11.33;4.37
Botswana;30.82;2.021;0.6979;60.46;123.50;2.93;0.480;53;12.49;2.0;5.7;19.61;65.38;2.444;3.254;0.000;18.4;46.6;170;2.145;18.50;27.4;64.5;167.30;7.03;205;22.27;9.52;7.25
Senegal;30.67;14.133;0.4659;40.31;105.58;8.37;0.528;57;7.95;2.8;8.6;43.59;53.24;0.589;170.424;0.000;2.8;55.3;320;1.063;17.70;32.1;66.5;98.84;38.63;64;46.39;42.67;1.48
Brunei;29.03;0.418;0.8556;29.00;102.88;2.95;0.064;76;14.53;5.2;7.7;71.42;100.00;23.968;0.000;0.000;2.0;9.9;27;0.225;68.77;39.5;78.8;110.06;3.63;122;0.00;23.17;49.35
Albania;28.86;2.774;0.7328;28.96;107.60;6.43;0.217;100;11.82;5.2;6.6;28.25;60.53;1.607;57.055;0.020;5.0;14.9;21;2.857;60.10;43.8;77.8;105.47;1.33;158;26.56;20.71;3.05
Mozambique;27.63;25.834;0.4164;45.66;117.40;8.61;0.591;20;9.28;21.1;34.2;49.08;9.51;0.134;475.964;8.552;12.4;87.2;480;1.886;5.94;31.5;55.1;69.67;68.41;65;93.34;39.60;0.85
Nicaragua;27.32;6.080;0.6314;45.73;124.12;4.54;0.449;78;11.51;4.9;15.4;24.71;49.76;0.830;65.211;0.605;11.3;23.5;100;1.229;17.60;29.3;74.9;114.57;51.59;153;50.33;39.13;0.68
Burkina Faso;26.79;16.935;0.4023;39.78;107.26;8.37;0.631;13;7.77;2.8;7.3;20.21;72.80;0.121;817.001;6.979;8.0;97.6;400;0.218;9.40;15.4;58.7;71.74;30.93;28;61.96;13.33;4.12
Mongolia;25.93;2.839;0.7266;36.52;136.72;4.78;0.325;90;14.59;3.7;16.3;6.91;95.37;6.927;82.871;0.000;9.7;31.8;68;0.418;27.00;46.9;69.4;105.06;9.10;287;4.07;14.86;0.61
Chad;25.93;12.825;0.3919;43.30;109.95;8.03;0.706;6;7.40;2.3;7.4;9.03;72.80;0.045;553.174;1.357;7.3;147.5;980;0.100;2.50;46.8;51.6;39.75;49.01;41;88.29;14.89;3.42
Republic of the Congo;25.26;4.448;0.5906;40.17;111.55;6.29;0.593;42;11.11;4.6;14.7;65.55;48.85;0.532;6.507;2.306;12.5;49.1;410;0.297;37.27;26.2;62.3;112.91;29.71;31;51.01;11.54;9.70
Zimbabwe;25.09;14.150;0.5087;49.99;109.08;3.91;0.504;41;10.85;9.7;27.2;38.70;28.29;0.738;651.230;0.000;10.6;88.5;470;1.833;19.89;43.4;57.5;80.82;19.53;129;70.29;35.14;2.55
Equatorial Guinea;24.74;0.757;0.5866;28.85;120.73;3.27;0.207;66;8.97;8.6;24.1;57.13;73.08;9.342;0.000;0.000;19.3;95.8;290;0.000;18.86;31.3;57.6;66.39;27.93;95;9.72;19.65;1.34
Macedonia;24.46;2.107;0.7473;44.20;110.34;5.08;0.164;100;13.35;3.2;7.3;39.94;82.15;4.438;101.675;0.000;1.4;6.6;7;0.400;68.06;38.4;75.4;109.10;2.51;122;10.44;33.33;6.63
Mali;24.32;15.302;0.4193;33.02;107.79;7.67;0.677;26;8.43;2.7;7.2;10.11;72.80;0.087;586.845;1.102;7.5;122.7;550;0.142;7.00;46.8;58.0;149.02;38.41;36;88.29;9.52;1.28
Cyprus;23.77;0.868;0.8497;28.53;105.33;2.00;0.124;100;13.97;1.5;7.7;18.76;94.89;6.736;0.000;0.000;2.0;3.6;10;2.405;69.33;41.2;80.2;96.34;4.73;106;5.11;12.50;18.17
Jamaica;23.37;2.715;0.7185;45.51;125.69;4.96;0.430;93;12.36;0.7;1.8;31.05;82.10;2.873;35.968;0.118;39.3;16.6;80;2.008;40.50;35.0;75.7;102.92;13.92;152;17.90;16.67;1.25
Armenia;22.40;2.977;0.7330;30.30;116.80;8.87;0.318;100;12.32;0.9;5.0;8.91;71.54;1.674;7.590;0.000;1.8;15.6;29;1.084;46.30;9.5;74.7;115.92;4.38;164;32.66;10.69;10.65
South Sudan;22.19;11.296;0.4667;37.07;149.00;5.99;0.450;5;7.56;12.8;27.1;31.06;48.99;1.380;85.826;0.000;13.9;99.2;730;0.000;15.90;38.2;55.7;24.50;24.96;65;86.21;24.35;5.57
Mauritius;21.58;1.296;0.7766;35.90;114.56;4.90;0.419;100;15.58;2.9;13.2;17.26;76.70;3.127;0.278;0.000;2.8;14.3;73;0.993;41.44;27.4;74.4;132.25;4.19;202;10.25;11.59;3.62
Namibia;21.37;2.303;0.6276;61.32;118.18;3.45;0.401;47;11.34;1.4;4.4;8.67;65.97;1.252;147.312;0.000;17.2;49.8;130;1.176;14.84;42.5;64.8;113.76;15.54;191;21.02;37.69;2.23
Tajikistan;19.96;8.208;0.6245;30.77;124.95;3.91;0.357;100;11.24;2.8;5.7;2.93;42.90;0.356;316.595;0.262;1.6;47.7;44;0.208;17.49;58.3;69.4;95.13;2.01;130;57.54;15.22;3.36
Palestine;18.70;4.170;0.6775;34.46;119.44;5.99;0.515;98;13.00;3.0;8.3;1.52;56.88;0.572;6.771;0.052;7.4;21.8;380;0.545;53.67;39.4;72.9;72.08;3.53;83.67;59.46;10.54;5.93
Papua New Guinea;17.99;7.321;0.5053;37.07;114.60;5.99;0.611;18;9.90;9.1;15.9;62.80;48.99;0.746;57.985;2.396;10.4;61.4;220;0.174;9.38;38.2;62.6;44.93;24.96;48;86.21;2.70;0.35
Benin;17.89;10.323;0.4796;43.53;110.71;8.07;0.614;38;11.07;3.1;8.8;39.56;41.71;0.510;134.208;16.907;8.4;85.3;340;0.231;5.30;32.1;59.6;101.71;46.77;75;56.18;8.43;2.27
Kyrgyzstan;17.79;5.720;0.6553;33.39;127.53;3.91;0.353;100;12.51;4.5;14.2;5.15;68.38;1.200;220.565;0.340;9.1;24.2;75;3.076;28.30;46.8;70.6;134.46;2.95;181;39.38;23.33;4.09
Haiti;17.01;10.317;0.4834;59.21;121.96;9.73;0.603;38;8.67;2.4;3.3;3.61;21.98;0.220;550.808;9.785;10.2;72.8;380;0.295;11.40;20.0;62.8;64.71;19.69;96;78.02;3.48;0.37
Rwanda;16.80;11.777;0.4832;50.82;117.05;8.62;0.400;18;10.27;7.2;17.1;18.44;56.88;0.060;4.343;0.651;23.1;52.0;320;0.864;10.60;47.9;64.2;64.02;65.25;492;80.47;57.55;3.84
Moldova;16.09;3.559;0.6933;30.63;117.83;4.82;0.248;100;11.87;4.8;24.1;12.03;94.89;1.399;24.344;0.000;6.5;15.4;21;0.012;46.60;24.6;71.6;108.00;5.38;188;3.39;20.79;11.23
Niger;15.81;17.831;0.3483;31.16;105.79;7.24;0.713;14;5.42;1.9;5.3;0.93;61.06;0.086;1735.492;9.227;4.7;104.2;630;0.123;1.95;31.2;61.4;44.44;30.67;42;26.76;13.27;0.74
Guinea;14.25;11.745;0.4113;33.68;156.45;9.90;0.492;26;8.70;2.4;7.1;26.34;56.88;0.233;17.298;0.437;8.9;100.7;650;0.056;1.72;44.4;58.8;72.10;41.42;25;80.47;21.93;3.22
Iceland;13.32;0.323;0.8994;26.30;113.64;1.77;0.087;100;18.98;6.7;21.0;0.32;15.27;5.897;0.000;0.000;0.3;2.1;4;0.800;98.16;42.0;82.6;111.08;2.08;47;84.73;41.27;10.43
Malawi;12.35;16.363;0.4454;46.18;166.12;7.63;0.611;10;10.75;8.9;23.9;33.63;72.80;0.078;896.007;9.241;1.8;67.9;510;0.770;5.83;41.2;62.8;30.50;40.27;76;55.84;16.67;1.26
Malta;12.20;0.423;0.8390;28.53;106.65;2.59;0.227;100;14.41;0.7;11.1;0.94;94.51;6.034;4.355;0.000;2.8;6.1;9;1.582;73.17;16.0;80.6;126.98;5.54;145;5.49;13.04;8.03
Mauritania;11.46;3.890;0.5059;40.46;115.43;10.09;0.610;22;8.50;1.5;4.5;0.23;72.80;0.624;178.816;1.409;5.0;90.1;320;0.000;10.70;38.4;63.1;94.20;35.87;45;61.96;22.17;2.32
Togo;9.18;6.817;0.4835;45.96;108.18;6.81;0.588;32;12.23;2.8;8.5;4.91;15.22;0.324;32.847;1.460;10.3;84.7;450;0.327;5.70;44.4;59.7;68.97;36.14;64;82.44;17.58;2.97
Sierra Leone;9.11;6.092;0.4128;35.35;144.61;6.83;0.650;14;8.57;4.5;11.0;37.22;56.88;0.153;6.264;0.242;1.9;160.6;1100;0.081;2.10;44.4;50.9;76.66;52.25;52;80.47;12.40;1.58
Montenegro;8.79;0.621;0.8022;30.63;109.10;5.58;0.171;100;15.18;6.4;24.7;40.37;60.19;4.146;1.242;0.000;2.7;5.3;7;1.324;61.00;37.9;76.2;163.03;19.50;208;28.41;17.28;8.16
Bahamas;8.50;0.377;0.7900;30.75;105.62;1.62;0.298;100;12.57;1.3;3.6;51.45;79.81;5.205;2.377;0.000;29.8;12.9;37;1.364;76.92;26.8;75.4;71.44;10.50;444;30.15;16.67;16.26
Suriname;8.39;0.539;0.7143;44.77;125.98;6.23;0.463;100;12.69;11.9;44.5;94.56;66.90;3.606;3.256;0.000;6.1;22.8;130;0.249;40.08;37.9;71.1;170.57;9.65;186;25.56;11.76;7.73
Swaziland;8.09;1.250;0.5306;51.49;122.09;3.38;0.557;42;11.33;4.1;8.6;33.24;57.26;0.865;44.565;0.027;33.8;80.0;310;0.968;27.10;46.8;49.0;72.32;32.69;284;74.56;14.74;2.04
Burundi;7.59;10.163;0.3999;33.27;140.02;7.04;0.492;7;10.11;12.5;34.1;6.56;63.67;0.022;278.017;5.732;8.0;82.9;740;0.142;1.38;50.1;56.7;30.46;52.50;72;53.54;34.93;2.50
Eritrea;7.33;6.333;0.3909;36.75;113.65;4.11;0.407;36;4.10;8.7;25.8;15.08;21.73;0.088;189.834;0.000;7.1;49.9;380;0.107;0.99;52.7;63.7;6.39;30.98;120;78.27;22.00;0.25
Fiji;6.61;0.881;0.7271;42.83;115.65;5.13;0.418;59;15.70;4.1;10.6;55.87;71.43;1.424;8.529;0.000;4.0;23.6;59;0.658;41.80;20.1;70.0;98.78;3.49;174;45.97;14.00;2.59
Bhutan;5.40;0.754;0.6052;38.73;129.19;5.07;0.457;76;12.62;11.2;23.1;85.80;71.43;0.769;2.127;0.000;1.7;36.2;120;0.116;34.37;26.2;69.5;82.07;21.14;135;59.46;8.33;6.75
Lesotho;5.17;2.074;0.4965;54.17;116.93;4.43;0.541;21;11.14;3.4;9.2;1.46;61.06;1.084;125.459;0.269;38.0;98.0;490;0.433;11.00;38.4;49.8;101.90;43.25;121;55.84;26.80;0.15
Guyana;5.07;0.800;0.6357;49.99;109.46;3.38;0.515;80;10.29;22.1;70.8;77.24;57.26;2.253;41.872;0.000;17.0;36.6;250;0.177;37.35;38.4;66.4;70.54;7.81;260;52.31;31.34;1.85
Barbados;4.33;0.283;0.7855;44.77;116.46;2.39;0.357;91;15.42;0.6;4.1;19.44;66.90;5.556;0.253;0.000;7.4;14.4;52;0.509;76.67;30.0;75.6;106.78;6.63;521;8.34;19.61;11.34
Maldives;3.89;0.345;0.7064;37.37;129.44;3.51;0.243;100;12.95;4.9;7.8;3.00;74.66;3.325;0.313;0.000;3.9;9.9;31;1.125;49.28;28.4;76.8;189.38;17.15;307;5.64;5.88;24.41
Liberia;3.65;4.294;0.4297;38.16;124.68;5.99;0.651;10;9.50;2.0;6.8;44.32;48.99;0.218;60.760;0.427;3.2;71.1;640;0.000;5.41;38.6;60.9;73.35;32.24;46;76.35;10.68;5.25
Cape Verde;3.10;0.499;0.6462;43.82;108.75;5.70;0.373;71;13.47;1.6;9.1;21.26;71.43;0.867;2.171;0.000;10.3;26.0;53;0.503;40.26;16.1;73.3;121.79;8.60;267;39.55;20.83;2.98
Gambia;2.97;1.849;0.4406;47.28;115.48;7.25;0.622;35;8.77;2.6;7.6;47.79;63.67;0.243;54.277;0.045;10.2;73.8;430;0.171;15.56;52.7;60.2;119.63;27.04;56;53.54;9.43;8.81
Belize;2.73;0.332;0.7150;42.74;98.24;3.03;0.426;100;13.55;0.5;4.9;60.23;63.67;1.739;7.397;0.000;44.7;16.7;45;0.294;38.70;43.8;70.0;50.71;9.09;476;18.71;13.33;15.32
Central African Republic;2.70;4.616;0.3501;56.30;108.76;5.99;0.655;11;7.24;5.3;14.1;36.19;56.88;0.064;11.607;4.821;11.8;139.2;880;0.071;4.03;44.4;50.7;31.36;53.44;19;80.47;12.50;2.91
Djibouti;2.53;0.873;0.4704;39.96;111.63;4.58;0.386;53;6.39;9.5;20.9;0.24;61.06;0.559;77.210;0.000;10.1;69.6;230;0.063;10.71;31.2;62.0;32.39;15.60;83;26.76;12.73;14.15
East Timor;2.34;1.149;0.5948;30.41;141.05;5.99;0.492;42;11.67;5.8;10.2;48.39;56.88;0.164;1.092;0.000;3.6;54.6;270;0.058;1.14;39.2;68.2;58.74;16.44;25;80.47;38.46;1.02
Guinea-Bissau;2.32;1.704;0.4196;35.52;108.04;5.99;0.450;61;9.05;2.4;7.2;71.19;48.99;0.151;13.919;0.081;8.4;123.9;560;0.030;3.32;38.2;55.2;63.48;36.04;68.67;86.21;13.73;1.06
Seychelles;2.12;0.089;0.7725;65.77;114.62;6.65;0.185;100;13.37;3.5;20.2;88.48;75.51;6.836;1.266;0.000;9.5;14.2;14;0.230;54.26;43.8;73.1;162.19;15.12;709;18.72;43.75;13.01
Saint Lucia;1.85;0.182;0.7291;51.73;108.64;3.44;0.386;91;12.57;3.1;7.6;77.05;61.19;2.271;21.056;0.000;21.6;14.5;34;0.319;51.00;31.2;75.1;102.59;10.43;317;26.76;20.69;6.68
Antigua and Barbuda;1.83;0.090;0.7834;41.95;108.08;2.63;0.259;91;13.95;4.6;15.0;22.27;66.92;5.824;3.196;0.000;11.2;9.3;31;0.244;64.00;46.9;76.1;120.02;8.68;403;11.02;25.71;31.93
Grenada;1.19;0.106;0.7500;38.67;105.47;3.35;0.359;91;15.80;3.5;3.6;49.97;74.66;2.408;0.167;0.000;13.3;11.8;23;0.116;37.38;21.1;73.4;126.53;5.83;424;11.60;25.00;10.73
Saint Kitts and Nevis;1.12;0.054;0.7519;31.00;109.37;2.86;0.254;91;12.88;2.8;27.8;42.31;83.19;5.054;0.000;0.000;33.6;10.2;9;0.107;65.40;27.0;73.8;139.81;7.18;714;27.28;6.67;10.47
Solomon Islands;1.12;0.561;0.5056;36.75;119.82;5.99;0.407;23;9.24;7.2;13.9;78.66;71.43;0.368;10.714;0.064;4.3;30.1;130;0.024;9.00;64.0;67.9;65.76;25.11;55;78.00;2.00;1.40
Saint Vincent and the Grenadines;1.11;0.109;0.7200;42.74;106.72;3.40;0.441;76;13.42;4.6;13.9;68.87;63.67;2.180;2.428;0.060;25.6;19.0;45;0.072;56.48;43.8;72.9;105.16;31.43;376;21.05;13.04;9.38
Samoa;1.06;0.190;0.7021;36.75;108.01;5.99;0.457;100;12.88;3.0;26.4;60.42;71.43;1.252;1.872;0.000;3.6;18.1;58;0.116;21.20;75.8;73.4;55.53;10.05;228;45.97;6.12;2.95
Comoros;1.03;0.735;0.5032;64.30;105.95;3.91;0.428;69;11.50;10.3;24.0;1.18;72.80;0.225;40.803;0.000;10.0;77.9;350;0.019;6.98;38.4;63.3;50.90;44.59;16;55.84;3.03;1.70
Vanuatu;0.73;0.253;0.5939;36.75;103.72;4.11;0.407;27;10.60;4.6;13.9;36.10;63.67;0.592;7.293;0.000;2.9;16.9;86;0.110;18.80;48.0;71.9;60.41;28.55;76;53.54;0.00;1.23
Dominica;0.72;0.072;0.7238;40.35;103.73;4.11;0.341;93;12.65;3.5;14.6;58.80;63.67;1.746;0.785;0.010;21.1;11.4;63;0.078;62.86;41.2;77.8;127.45;13.57;391;42.84;21.88;8.91
São Tomé and Príncipe;0.56;0.193;0.5550;33.87;132.40;9.12;0.492;61;11.29;3.0;9.5;28.13;56.88;0.561;0.000;0.000;3.3;51.0;210;0.012;24.41;44.4;66.5;64.94;33.87;128;80.47;18.18;3.29
Tonga;0.54;0.105;0.7170;34.56;108.32;5.99;0.666;96;14.70;3.0;11.1;12.50;71.43;0.982;0.458;0.000;1.0;12.1;120;0.045;40.00;26.2;72.8;64.28;9.61;150;49.71;0.00;5.16
Micronesia;0.34;0.104;0.6396;61.10;114.14;5.99;0.515;59;11.68;3.0;9.5;91.69;56.88;1.241;0.000;0.000;4.6;36.4;96;0.042;22.73;39.4;69.1;79.09;27.24;80;80.47;0.00;2.51
Palau;0.31;0.021;0.7802;38.67;117.17;4.91;0.359;59;13.67;3.5;13.6;87.61;74.66;10.855;0.000;0.000;3.1;17.5;87;0.105;54.97;21.1;72.7;90.60;5.20;295;9.43;10.34;26.72
Kiribati;0.18;0.102;0.5902;39.27;114.14;5.99;0.492;59;12.32;3.0;9.5;15.00;56.88;0.628;0.032;0.009;8.2;58.2;130;0.006;12.25;73.0;66.0;17.41;21.10;114;80.47;8.70;2.56
